name,developer,date,platform,total_sales,NA_sales,PAL_sales,japan_sales,other_sales
Gran Turismo,Polyphony Digital,30th Apr 98,PS,10.95m,4.02m,3.87m,2.54m,0.52m
Super Mario 3D World + Bowser's Fury,Nintendo,12th Feb 21,NS,,,,,
Call of Duty: Modern Warfare 2,Infinity Ward,10th Nov 09,PS3,10.61m,4.99m,3.66m,0.38m,1.59m
Grand Theft Auto IV,Rockstar North,29th Apr 08,PS3,10.57m,4.79m,3.73m,0.44m,1.62m
Super Mario All-Stars,Nintendo EAD,01st Aug 93,SNES,10.55m,5.99m,2.15m,2.12m,0.29m
Rocket League,Psyonix,07th Jul 15,Series,,,,,
Rocket League,Psyonix,07th Jul 15,All,,,,,
Tomodachi,Nintendo,06th Jun 14,Series,,,,,
Call of Duty: Ghosts,Infinity Ward,05th Nov 13,X360,10.41m,6.76m,2.64m,0.04m,0.98m
Star Fox,Nintendo,26th Mar 93,Series,,,,,
Nobunaga's Ambition,Koei,01st Mar 83,Series,,,,,
Call of Duty: Ghosts,Infinity Ward,05th Nov 13,PS3,10.13m,4.11m,4.01m,0.39m,1.62m
Splatoon 3,Nintendo,09th Sep 22,NS,,,,,
SaGa,Square,30th Sep 90,Series,,,,,
Assassin's Creed Odyssey,Ubisoft Quebec,05th Oct 18,All,,,,,
Assassin's Creed Origins,Ubisoft Montreal,27th Oct 17,All,,,,,
Assassin's Creed Unity,Ubisoft Montreal,11th Nov 14,All,,,,,
Broken Sword,Revolution Software,30th Sep 96,Series,,,,,
Buzz!,Relentless Software,21st Oct 05,Series,,,,,
Crash Bandicoot N. Sane Trilogy,Vicarious Visions,30th Jun 17,All,,,,,
Dark Souls III,From Software,12th Apr 16,All,,,,,
Far Cry 3,Ubisoft Montreal,04th Dec 12,All,,,,,
Far Cry 4,Ubisoft Montreal,18th Nov 14,All,,,,,
Far Cry 5,Ubisoft,27th Mar 18,All,,,,,
FIFA 10,EA Canada,20th Oct 09,All,,,,,
FIFA 12,EA Canada,27th Sep 11,All,,,,,
Final Fantasy XV,Square Enix,29th Nov 16,All,,,,,
Horizon: Zero Dawn,Guerrilla Games,28th Feb 17,PS4,5.82m,2.20m,2.43m,0.28m,0.92m
It Takes Two,Hazelight,26th Mar 21,All,,,,,
Just Dance 2,Ubisoft Paris,12th Oct 10,Wii,9.45m,5.80m,2.86m,0.01m,0.77m
Just Dance 3,Ubisoft Paris,07th Oct 11,Wii,10.14m,5.95m,3.13m,,1.06m
Killing Floor,Tripwire Interactive,14th May 09,Series,,,,,
Marvel vs. Capcom,Capcom,01st Dec 96,Series,,,,,
Monster Hunter World: Iceborne,Capcom,06th Sep 19,All,,,,,
MX vs. ATV,Rainbow Studios,05th Feb 01,Series,,,,,
NBA 2K18,Visual Concepts,19th Sep 17,All,,,,,
NBA 2K22,Visual Concepts,10th Sep 21,All,,,,,
Pitfall,Activision,20th Apr 82,Series,,,,,
RollerCoaster Tycoon 3,Frontier Developments,26th Oct 04,PC,0.26m,0.01m,0.22m,,0.02m
Star Wars Jedi: Fallen Order,Respawn Entertainment,15th Nov 19,All,,,,,
Tekken 7,Bandai Namco Studios,18th Mar 15,All,,,,,
The Last of Us Part II,Naughty Dog,19th Jun 20,PS4,,,,,
The Settlers,Blue Byte,30th Jun 93,Series,,,,,
The Sims 3,Maxis,02nd Jun 09,All,,,,,
Titanfall,Respawn Entertainment,11th Mar 14,All,,,,,
Tom Clancy's Ghost Recon Wildlands,Ubisoft Paris,07th Mar 17,All,,,,,
Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,01st Dec 15,All,,,,,
Tom Clancy's The Division,Massive Entertainment,08th Mar 16,All,,,,,
Tom Clancy's The Division 2,Massive Entertainment,15th Mar 19,All,,,,,
Valheim,Iron Gate AB,02nd Feb 21,PC,,,,,
Watch Dogs,Ubisoft Montreal,27th May 14,All,,,,,
Watch Dogs 2,Ubisoft Montreal,15th Nov 16,All,,,,,
Halo: Reach,Bungie,14th Sep 10,X360,9.97m,7.08m,2.01m,0.08m,0.80m
Portal,Valve Software,09th Apr 08,PC,0.01m,,0.00m,,0.00m
Halo 4,343 Industries,06th Nov 12,X360,9.96m,6.72m,2.36m,0.04m,0.83m
The Binding of Isaac,Edmund McMillen,28th Sep 11,Series,,,,,
Final Fantasy VII,SquareSoft,03rd Sep 97,PS,9.72m,3.01m,2.47m,3.28m,0.96m
Mario Kart 64,Nintendo EAD,10th Feb 97,N64,9.87m,5.55m,1.94m,2.23m,0.15m
Ace Attorney,Capcom,12th Oct 05,Series,,,,,
Ghost of Tsushima,Sucker Punch,17th Jul 20,All,,,,,
Dead or Alive,Team Ninja,31st Mar 98,Series,,,,,
Super Smash Bros. for 3DS,Bandai Namco Games,03rd Oct 14,3DS,8.32m,3.73m,1.50m,2.55m,0.54m
Final Fantasy VIII,Square,09th Sep 99,All,,,,,
Street Fighter IV,Capcom / Dimps Corporation,17th Feb 09,All,,,,,
Carnival Games,Cat Daddy Games,27th Aug 07,Series,,,,,
Call of Duty 4: Modern Warfare,Infinity Ward,05th Nov 07,X360,9.41m,5.98m,2.39m,0.13m,0.91m
Mario Party Superstars,Nintendo,29th Oct 21,NS,,,,,
Gran Turismo 2,Polyphony Digital,17th Jan 99,PS,9.49m,3.88m,3.42m,1.69m,0.50m
Wii Party,"Nd Cube Co., Ltd.",03rd Oct 10,Wii,8.41m,1.75m,3.51m,2.49m,0.66m
Call of Duty: Black Ops IIII,Treyarch,12th Oct 18,PS4,9.32m,4.05m,3.28m,0.50m,1.49m
Mario Party DS,Hudson Soft,19th Nov 07,DS,8.93m,4.40m,1.86m,1.98m,0.69m
Donkey Kong Country,Rare Ltd.,21st Nov 94,SNES,9.30m,4.36m,1.71m,3.00m,0.23m
Half-Life,Valve Software,19th Nov 98,PC,4.12m,4.03m,0.00m,0.09m,
Uncharted 3: Drake's Deception,Naughty Dog,01st Nov 11,PS3,6.84m,2.77m,2.81m,0.19m,1.06m
NieR,Cavia,23rd Apr 10,Series,,,,,
FIFA 19,EA Sports,28th Sep 18,PS4,9.15m,0.84m,6.87m,0.10m,1.34m
Pokémon: Ultra Sun and Ultra Moon,Game Freak,17th Nov 17,3DS,7.15m,2.46m,1.74m,2.55m,0.40m
Super Mario 3D All-Stars,Nintendo,18th Sep 20,NS,,,,,
Rust,Facepunch Studios,08th Feb 18,PC,,,,,
Assassin's Creed II,Ubisoft Montreal,17th Nov 09,All,,,,,
Battlefield: Bad Company 2,EA DICE,02nd Mar 10,All,,,,,
Harry Potter and the Chamber of Secrets,EA UK,15th Nov 02,All,,,,,
Payday,Overkill Software,18th Oct 11,Series,,,,,
Silent Hill,Konami Computer Entertainment Tokyo,23rd Feb 99,Series,,,,,
Star Wars Battlefront II (2017),EA DICE,17th Nov 17,All,,,,,
The Experience,Ubisoft,06th Nov 10,Series,,,,,
Ninja Gaiden,Tecmo,01st Oct 88,Series,,,,,
Need for Speed: Undercover,EA Black Box,18th Nov 08,All,,,,,
The Elder Scrolls V: Skyrim,Bethesda Game Studios,11th Nov 11,X360,8.88m,5.10m,2.83m,0.10m,0.85m
Xeno,Square,20th Oct 98,Series,,,,,
Mario Party 8,Hudson Soft,29th May 07,Wii,8.30m,3.74m,2.27m,1.58m,0.70m
Megami Tensei,Atlus,12th Oct 04,Series,,,,,
Monster Hunter Generations,Capcom,15th Jul 16,All,,,,,
Super Mario Kart,Nintendo EAD,01st Sep 92,SNES,8.76m,3.54m,1.24m,3.81m,0.18m
Grand Theft Auto V,Rockstar North,18th Nov 14,XOne,8.72m,4.70m,3.25m,0.01m,0.76m
Naruto Shippuden: Ultimate Ninja Storm 4,CyberConnect2,09th Feb 16,All,,,,,
The Legend of Zelda: Twilight Princess,Nintendo EAD,11th Dec 06,All,,,,,
Nintendo Switch Sports,Nintendo,29th Apr 22,NS,,,,,
Final Fantasy VIII,SquareSoft,07th Sep 99,PS,7.86m,2.28m,1.72m,3.63m,0.23m
Final Fantasy X,SquareSoft,17th Dec 01,PS2,8.05m,2.91m,2.07m,2.73m,0.33m
Monument Valley,Ustwo Games,03rd Apr 14,Series,,,,,
Pokémon Black 2 and White 2,Game Freak,07th Oct 12,DS,8.16m,2.79m,1.79m,3.16m,0.43m
NBA 2K17,Visual Concepts,20th Sep 16,All,,,,,
Onimusha,Capcom,13th Mar 01,Series,,,,,
Call of Duty: Infinite Warfare,Infinity Ward,04th Nov 16,PS4,8.48m,3.11m,3.83m,0.19m,1.36m
Fallout 4,Bethesda Game Studios,10th Nov 15,PS4,8.48m,2.91m,3.97m,0.27m,1.34m
Mario Kart 8,Nintendo,30th May 14,WiiU,7.69m,3.22m,2.55m,1.39m,0.54m
Tekken 3,Namco,29th Apr 98,PS,7.16m,3.27m,2.22m,1.40m,0.29m
Monster Hunter 4,Capcom,13th Feb 15,All,,,,,
FIFA 16,EA Canada,22nd Sep 15,PS4,8.22m,1.15m,5.77m,0.07m,1.23m
Lego Star Wars II: The Original Trilogy,TT Games,12th Sep 06,All,,,,,
The Last of Us,Naughty Dog,14th Jun 13,PS3,6.27m,2.41m,2.57m,0.29m,0.99m
GoldenEye 007,Rare Ltd.,25th Aug 97,N64,8.09m,5.80m,2.01m,0.13m,0.15m
Star Wars Battlefront (2015),EA DICE,17th Nov 15,PS4,8.03m,3.31m,3.19m,0.23m,1.30m
FIFA 13,EA Canada,25th Sep 12,PS3,8.01m,1.07m,5.13m,0.13m,1.68m
Assassin's Creed,Ubisoft Montreal,13th Nov 07,All,,,,,
Cars,Rainbow Studios,06th Jun 06,All,,,,,
Cuphead,Studio MDHR,29th Sep 17,Series,,,,,
Detroit: Become Human,Quantic Dream,25th May 18,All,,,,,
Dragon Ball FighterZ,Arc System Works,26th Jan 18,All,,,,,
Dragon Ball Xenoverse 2,Dimps Corporation,25th Oct 16,All,,,,,
Ghost of Tsushima,Sucker Punch,17th Jul 20,PS4,,,,,
Grand Theft Auto: Liberty City Stories,Rockstar Leeds/North,24th Oct 05,All,,,,,
Guitar Hero III: Legends of Rock,Neversoft,28th Oct 07,All,,,,,
Halo 2,Bungie Studios,09th Nov 04,XB,8.49m,6.82m,1.53m,0.05m,0.08m
Harry Potter and the Sorcerer's Stone,Argonaut Games,15th Nov 01,PS,3.73m,1.37m,2.00m,0.14m,0.22m
Inazuma Eleven,Level 5,22nd Aug 08,Series,,,,,
Kinect Sports,Rare,09th Oct 10,Series,,,,,
Moto Racer,SK Software International,03rd Sep 97,Series,,,,,
NBA 2K16,Visual Concepts,29th Sep 15,All,,,,,
Romance of the Three Kingdoms,Koei,10th Dec 85,Series,,,,,
Samurai Warriors,Omega Force,06th May 04,Series,,,,,
Sid Meier's Civilization V,Firaxis Games,21st Sep 10,PC,1.70m,1.00m,0.53m,,0.17m
Unreal,Epic Games,22nd May 98,Series,,,,,
The Sims 3,EA Redwood Shores,02nd Jun 09,PC,7.96m,1.01m,6.46m,,0.50m
Super Mario Maker 2,Nintendo,28th Jun 19,NS,,,,,
FIFA 09,EA Canada,15th Oct 08,All,,,,,
Grand Theft Auto: Liberty City Stories,Rockstar Leeds,25th Oct 05,PSP,7.72m,2.90m,2.83m,0.24m,1.74m
Final Fantasy XII,Square Enix,31st Oct 06,All,,,,,
Final Fantasy XIII,Square Enix,09th Mar 10,All,,,,,
Monster Hunter Rise,Capcom,26th Mar 21,NS,,,,,
Pac-Man,Atari,01st Mar 82,2600,7.81m,7.28m,0.45m,,0.08m
Cyberpunk 2077,CD Projekt Red Studio,19th Nov 20,PC,,,,,
Magicka,Arrowhead Game Studios,25th Jan 11,Series,,,,,
God of War III,SCEA Santa Monica Studio,16th Mar 10,PS3,4.81m,2.74m,1.36m,0.12m,0.60m
Pokémon Platinum Version,Game Freak,22nd Mar 09,DS,7.72m,2.76m,1.73m,2.69m,0.54m
The Legend of Zelda: Ocarina of Time,Nintendo EAD,23rd Nov 98,N64,7.60m,4.10m,1.89m,1.45m,0.16m
Jurassic Park,Ocean Software,28th Dec 93,Series,,,,,
Call of Duty: Advanced Warfare,Sledgehammer Games,04th Nov 14,PS4,7.53m,2.84m,3.34m,0.14m,1.22m
Crysis,Crytek,13th Nov 07,Series,,,,,
Call of Duty: World at War,Treyarch,10th Nov 08,X360,7.50m,4.88m,1.91m,,0.71m
Baldur's Gate,BioWare,31st Jul 00,Series,,,,,
Super Mario Bros. 2,Nintendo EAD,01st Oct 88,NES,7.46m,5.39m,1.18m,0.70m,0.19m
Super Mario Galaxy 2,Nintendo EAD Tokyo,23rd May 10,Wii,7.57m,3.59m,2.37m,0.98m,0.62m
Super Smash Bros. Melee,HAL Laboratory,02nd Dec 01,GC,7.07m,4.41m,1.04m,1.39m,0.22m
Madden NFL 07,EA Tiburon,22nd Aug 06,All,,,,,
Resident Evil 8: Village,Capcom,07th May 21,All,,,,,
Trine,Frozenbyte,03rd Jul 09,Series,,,,,
Call of Duty: Black Ops 3,Treyarch,06th Nov 15,XOne,7.37m,4.63m,2.04m,0.02m,0.68m
Battlefield 3,Dice,25th Oct 11,X360,7.35m,4.47m,2.12m,0.06m,0.69m
Battlefield V,EA DICE,20th Nov 18,All,,,,,
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,Level 5,30th Sep 16,3DS,3.65m,0.22m,0.20m,3.19m,0.04m
Ark,Studio Wildcard,27th Aug 17,Series,,,,,
The Legend of Zelda: Twilight Princess,Nintendo EAD,19th Nov 06,Wii,7.18m,3.74m,2.16m,0.60m,0.69m
Battlefield 1,EA DICE,21st Oct 16,PS4,7.26m,2.20m,3.65m,0.29m,1.12m
Battlefield 3,Dice,25th Oct 11,PS3,7.21m,2.86m,2.94m,0.35m,1.07m
Oddworld,Oddworld Inhabitants,19th Sep 97,Series,,,,,
Need for Speed Underground,EA Black Box,17th Nov 03,PS2,7.20m,3.27m,2.83m,0.08m,1.02m
Assassin's Creed: Brotherhood,Ubisoft Montreal,16th Nov 10,All,,,,,
Call of Duty 3,Treyarch,07th Nov 06,All,,,,,
Dragon's Dogma,Capcom,22nd May 12,Series,,,,,
WarioWare,Nintendo,26th May 03,Series,,,,,
The Binding of Isaac,Edmund McMillen,28th Sep 11,PC,0.00m,,0.00m,,0.00m
Tomb Raider,Core Design,14th Nov 96,All,,,,,
Pokémon Emerald Version,Game Freak,30th Apr 05,GBA,6.41m,2.57m,1.58m,2.06m,0.21m
Ark: Survival Evolved,Studio Wildcard,29th Aug 17,All,,,,,
Assassin's Creed: Revelations,Ubisoft Montreal,15th Nov 11,All,,,,,
DiRT,Codemasters,19th Jun 07,Series,,,,,
Grim Dawn,Crate Entertainment,25th Feb 16,All,,,,,
Guild Wars 2,ArenaNet,28th Aug 12,PC,2.37m,1.01m,1.11m,,0.25m
Just Dance 3,Ubisoft,07th Oct 11,All,,,,,
King's Quest,On-Line Systems,10th May 84,Series,,,,,
Mafia III,Hangar 13,07th Oct 16,All,,,,,
Mana,Square,01st Nov 91,Series,,,,,
Metal Gear Solid 2: Sons of Liberty,Konami Computer Entertainment Japan,12th Nov 01,PS2,6.05m,2.45m,2.01m,0.87m,0.72m
NBA 2K14,Visual Concepts,01st Oct 13,All,,,,,
NBA 2K15,Visual Concepts,07th Oct 14,All,,,,,
NieR: Automata,PlatinumGames,07th Mar 17,All,,,,,
Nioh,Team Ninja,07th Feb 17,Series,,,,,
Project Gotham Racing,Bizarre Creations,15th Jan 01,Series,,,,,
Rise of the Tomb Raider,Crystal Dynamics,10th Nov 15,All,,,,,
Rugrats,Realtime Associates,29th Jun 99,Series,,,,,
Star Wars: The Force Unleashed,LucasArts,16th Sep 08,All,,,,,
Street Fighter V,Capcom,16th Feb 16,All,,,,,
The Legend of Heroes: Trails,Falcom,29th Mar 11,Series,,,,,
"Warhammer 40,000: Dawn of War",Relic Entertainment,20th Sep 04,Series,,,,,
Zumba Fitness,Pipeworks Software,18th Nov 10,All,,,,,
The Room,Fireproof Games,01st Sep 12,All,,,,,
Need for Speed Underground 2,EA Black Box,15th Nov 04,PS2,6.90m,2.71m,3.02m,0.08m,1.09m
Just Dance 4,Ubisoft,09th Oct 12,Wii,6.89m,4.05m,2.21m,,0.62m
Mario Kart: Double Dash!!,Nintendo EAD,17th Nov 03,GC,6.95m,4.12m,1.77m,0.87m,0.19m
Tomb Raider II,Core Design,21st Nov 97,All,,,,,
Medal of Honor: Frontline,EA Los Angeles,28th May 02,PS2,6.83m,2.93m,2.75m,0.17m,0.99m
Crash Bandicoot,Naughty Dog,01st Sep 96,PS,6.82m,3.23m,2.35m,0.94m,0.30m
Persona 5,Atlus,04th Apr 17,All,,,,,
Clubhouse Games,"Agenda, C.A. Production, NDcube",09th Oct 06,Series,,,,,
Uncharted 2: Among Thieves,Naughty Dog,13th Oct 09,PS3,6.74m,3.28m,2.22m,0.21m,1.02m
Star Wars: Knights of the Old Republic,BioWare,15th Jul 03,Series,,,,,
Call of Duty 4: Modern Warfare,Infinity Ward,05th Nov 07,PS3,6.72m,3.13m,2.27m,0.28m,1.04m
Tomodachi Life,Nintendo,06th Jun 14,3DS,5.88m,0.97m,2.64m,1.98m,0.28m
Kingdom Hearts III,Square Enix,29th Jan 19,All,,,,,
Lego Star Wars: The Video Game,TT Games,29th Mar 05,All,,,,,
Mario Strikers,Next Level Games,05th Dec 05,Series,,,,,
FIFA Soccer 12,EA Canada,27th Sep 11,PS3,6.65m,0.84m,4.33m,0.11m,1.37m
FIFA 14,EA Canada,24th Sep 13,PS3,6.61m,0.79m,4.77m,0.07m,0.98m
Fallout 4,Bethesda Game Studios,10th Nov 15,PC,1.40m,0.57m,0.72m,,0.11m
Ben 10,High Voltage Software,30th Oct 07,Series,,,,,
Red Dead Redemption,Rockstar San Diego,11th Oct 11,PS3,6.57m,2.82m,2.58m,0.17m,1.00m
Donkey Kong Country Returns,Retro Studios,21st Nov 10,Wii,6.50m,3.19m,1.81m,1.03m,0.47m
Mario & Sonic at the Olympic Winter Games,Sega Sports R&D,13th Oct 09,All,,,,,
The Legend of Zelda,Nintendo EAD,22nd Aug 87,NES,6.51m,3.74m,0.93m,1.69m,0.14m
Assassin's Creed III,Ubisoft Montreal,30th Oct 12,PS3,6.50m,2.65m,2.61m,0.16m,1.08m
Devil May Cry 5,Capcom,08th Mar 19,All,,,,,
Dragon Quest XI,Square Enix,04th Sep 18,All,,,,,
Guild Wars,ArenaNet,26th Apr 05,PC,0.04m,0.03m,0.00m,,0.00m
Lost Planet,Capcom,12th Jan 07,Series,,,,,
Madden NFL 06,EA Tiburon,08th Aug 05,All,,,,,
Marvel's Spider-Man: Miles Morales,Insomniac Games,12th Nov 20,All,,,,,
Red Dead Redemption,Rockstar San Diego,18th May 10,X360,6.50m,3.77m,2.03m,0.09m,0.60m
The Elder Scrolls V: Skyrim,Bethesda Game Studios,11th Nov 11,PS3,6.49m,2.57m,2.68m,0.25m,0.99m
Diddy Kong Racing,Rare Ltd.,24th Nov 97,Series,,,,,
Luigi's Mansion: Dark Moon,Next Level Games,24th Mar 13,3DS,5.44m,2.03m,1.88m,1.17m,0.36m
Elite,David Braben,20th Sep 84,Series,,,,,
Final Fantasy XII,Square Enix,31st Oct 06,PS2,5.95m,1.88m,0.00m,2.33m,1.74m
Resident Evil 3 (2020),Capcom,03rd Apr 20,All,,,,,
The Legend of Zelda: Ocarina of Time 3D,GREZZO,19th Jun 11,3DS,2.00m,1.42m,0.01m,0.56m,
Pokémon Crystal Version,Game Freak,29th Jul 01,GBC,6.39m,2.55m,1.56m,1.29m,0.99m
Hatsune Miku: Project,Sega,09th Apr 12,Series,,,,,
Minecraft,Mojang,07th Oct 14,PS4,6.33m,1.89m,3.13m,0.35m,0.96m
FIFA 15,EA Canada,23rd Sep 14,PS4,6.32m,0.83m,4.49m,0.05m,0.94m
Kingdom Hearts,SquareSoft,16th Sep 02,PS2,6.40m,3.64m,1.20m,1.49m,0.07m
Myst,Cyan Worlds,01st Jan 95,PC,2.81m,0.02m,2.79m,,
Street Fighter II: The World Warrior,Capcom,01st Jul 92,SNES,6.30m,2.47m,0.83m,2.87m,0.12m
Driver,Reflections Interactive,30th Jun 99,PS,6.27m,3.11m,2.80m,0.02m,0.33m
Call of Duty: WWII,Sledgehammer Games,03rd Nov 17,XOne,6.23m,3.75m,1.91m,,0.57m
Pikmin,Nintendo,02nd Dec 01,Series,,,,,
Big Brain Academy,Nintendo EAD,05th Jun 06,DS,6.63m,1.66m,2.75m,1.60m,0.62m
Kirby and the Forgotten Land,HAL Laboratory,25th Mar 22,NS,,,,,
The Legend of Zelda: Link's Awakening,Nintendo,20th Sep 19,NS,,,,,
Minecraft,Mojang,16th May 14,PS3,6.05m,2.21m,2.86m,,0.99m
Pokémon Snap,HAL Laboratory,30th Jun 99,Series,,,,,
Borderlands,Gearbox Software,20th Oct 09,All,,,,,
Carnival Games,Cat Daddy Games,27th Aug 07,All,,,,,
Championship Manager,Intelek,01st Sep 92,Series,,,,,
Cities: Skylines,Colossal Order,10th Mar 15,All,,,,,
Conflict,Pivotal Games,30th Sep 02,Series,,,,,
Cuphead,Studio MDHR,29th Sep 17,All,,,,,
Dead Cells,Motion Twin,07th Aug 18,All,,,,,
Dead Space,EA Redwood Shores,13th Oct 08,Series,,,,,
Dragon Age: Inquisition,BioWare,18th Nov 14,All,,,,,
FIFA 07,EA Canada,25th Sep 06,All,,,,,
Just Dance,Ubisoft Paris,17th Nov 09,Wii,7.21m,3.48m,2.99m,,0.73m
Limbo,Playdead,21st Jul 10,All,,,,,
Mass Effect 3,BioWare,06th Mar 12,All,,,,,
Metal Gear Solid,Konami Computer Entertainment Japan,21st Oct 98,PS,6.03m,3.18m,1.83m,0.78m,0.24m
Metal Gear Solid,Konami Computer Entertainment Japan,21st Oct 98,All,,,,,
Metal Gear Solid 4: Guns of the Patriots,Kojima Productions,12th Jun 08,PS3,6.00m,2.63m,1.72m,0.83m,0.81m
Metal Gear Solid V: The Phantom Pain,Kojima Productions,01st Sep 15,All,,,,,
Metro Exodus,4a-games,15th Feb 19,All,,,,,
MotorStorm,Evolution Studios,06th Mar 07,Series,,,,,
NBA Jam,Midway,04th Mar 94,Series,,,,,
One Piece: Pirate Warriors,Omega Force,25th Sep 12,Series,,,,,
Project Gotham Racing,Bizarre Creations,14th Nov 01,XB,2.12m,1.37m,0.61m,0.05m,0.09m
Sonic the Hedgehog 2,Sonic Team,20th Nov 92,GEN,6.03m,4.47m,1.20m,0.16m,0.19m
Star Wars: Battlefront II,Pandemic Studios,01st Nov 05,All,,,,,
StarCraft II: Wings of Liberty,Blizzard Entertainment,27th Jul 10,PC,4.86m,2.60m,1.70m,,0.56m
Tekken 5,Namco,24th Feb 05,PS2,3.87m,0.93m,1.94m,0.31m,0.70m
Tom Clancy's Splinter Cell,Ubisoft,17th Nov 02,All,,,,,
Euro Truck Simulator 2,SCS Software,16th Jan 13,PC,0.14m,,0.13m,,0.01m
Tekken 6,Namco Bandai Games,26th Nov 07,All,,,,,
Tomb Raider III,Core Design,20th Nov 98,All,,,,,
Mario Kart: Super Circuit,Intelligent Systems,26th Aug 01,GBA,5.47m,2.62m,1.64m,0.99m,0.23m
Super Mario Sunshine,Nintendo EAD,25th Aug 02,GC,6.31m,4.01m,1.26m,0.87m,0.17m
Call of Duty 2,Infinity Ward,25th Oct 05,All,,,,,
Super Mario 3D World,Nintendo EAD Tokyo,22nd Nov 13,WiiU,5.01m,2.31m,1.54m,0.79m,0.37m
Mario vs. Donkey Kong,Nintendo Software Technology Corporation,24th May 04,Series,,,,,
Final Fantasy IX,Square,13th Nov 00,All,,,,,
Style Savvy,syn Sophia,02nd Nov 09,Series,,,,,
Age of Empires II: HD Edition,Hidden Path Entertainment,09th Apr 13,PC,,,,,
New Super Mario Bros. U,Nintendo EAD,18th Nov 12,WiiU,5.62m,2.30m,1.63m,1.32m,0.38m
Deep Rock Galactic,Ghost Ship Games,13th May 20,All,,,,,
DayZ,Bohemia Interactive,13th Dec 18,All,,,,,
Link's Crossbow Training,Nintendo EAD,19th Nov 07,Wii,4.98m,3.05m,1.17m,0.29m,0.46m
Red Dead Redemption 2,Rockstar Games,26th Oct 18,XOne,5.77m,3.76m,1.47m,,0.54m
Destiny,Bungie,09th Sep 14,PS4,5.76m,2.53m,2.13m,0.16m,0.94m
Tekken 2,Namco,25th Aug 96,PS,5.74m,2.26m,1.89m,1.36m,0.23m
Anno,Max Design,01st Feb 00,Series,,,,,
Crash Bandicoot 3: Warped,Naughty Dog,31st Oct 98,PS,7.13m,3.68m,1.75m,1.42m,0.28m
Trials,RedLynx,12th Aug 09,Series,,,,,
Uncharted: The Nathan Drake Collection,Bluepoint Games,07th Oct 15,PS4,5.70m,2.55m,2.11m,0.10m,0.94m
Super Mario World: Super Mario Advance 2,Nintendo EAD,09th Feb 02,GBA,5.46m,3.21m,1.11m,0.95m,0.20m
Dishonored,Arkane Studios,09th Oct 12,Series,,,,,
LEGO Star Wars: The Complete Saga,Traveller's Tales,06th Nov 07,Wii,5.66m,3.57m,1.57m,,0.52m
Cooking Mama,Office Create,12th Sep 06,DS,5.66m,3.09m,1.92m,0.07m,0.58m
The Legend of Zelda: Ocarina of Time 3D,GREZZO,19th Jun 11,3DS,5.33m,2.50m,1.80m,0.65m,0.39m
Tetris,Nintendo,01st Nov 89,NES,5.58m,2.97m,0.69m,1.81m,0.11m
Super Mario Advance,Nintendo EAD,10th Jun 01,GBA,5.49m,3.14m,1.24m,0.91m,0.20m
Assassin's Creed II,Ubisoft Montreal,17th Nov 09,PS3,5.57m,2.54m,1.95m,0.21m,0.86m
Super Smash Bros.,HAL Laboratory,26th Apr 99,N64,5.55m,2.95m,0.60m,1.97m,0.04m
XCOM,Mythos Games,01st Mar 94,Series,,,,,
Assassin's Creed,Ubisoft Montreal,13th Nov 07,X360,5.55m,3.28m,1.64m,0.07m,0.56m
Batman: Arkham City,Rocksteady Studios,18th Oct 11,PS3,5.54m,2.72m,1.89m,0.11m,0.82m
Forza Motorsport 3,Turn 10 Studios,27th Oct 09,X360,5.50m,2.99m,1.90m,0.10m,0.51m
Arma III,Bohemia Interactive,12th Sep 13,PC,0.11m,,0.10m,,0.01m
Detroit: Become Human,Quantic Dream,25th May 18,PS4,1.57m,0.55m,0.67m,0.12m,0.24m
Dragon Quest IX: Sentinels of the Starry Skies,Level 5,11th Jul 10,DS,5.79m,0.63m,0.67m,4.35m,0.15m
Final Fantasy IX,SquareSoft,13th Nov 00,PS,5.30m,1.62m,0.77m,2.78m,0.14m
Final Fantasy X-2,Square Enix,18th Nov 03,PS2,5.29m,1.92m,1.08m,2.11m,0.17m
NBA 2K11,Visual Concepts,05th Oct 10,All,,,,,
Saints Row: The Third,Volition,15th Nov 11,All,,,,,
Tomb Raider (2013),Crystal Dynamics,05th Mar 13,PC,0.34m,0.06m,0.26m,,0.02m
Pokémon Stadium,HAL Laboratory,06th Mar 00,N64,5.45m,3.18m,1.24m,0.94m,0.09m
Chrono,Square,11th Aug 95,Series,,,,,
Donkey Kong Country: Tropical Freeze,Retro Studios,21st Feb 14,All,,,,,
Minecraft,Mojang,18th Nov 14,XOne,5.43m,3.23m,1.71m,,0.49m
Call of Duty: World at War,Treyarch,10th Nov 08,PS3,5.43m,2.75m,1.84m,,0.84m
Super Mario Advance 4: Super Mario Bros. 3,Nintendo EAD,21st Oct 03,GBA,5.20m,2.93m,1.25m,0.83m,0.20m
Crash Bandicoot: The Wrath of Cortex,Traveller's Tales,29th Oct 01,PS2,5.42m,2.07m,2.29m,0.24m,0.82m
Atelier,Gust,28th Jun 05,Series,,,,,
Super Smash Bros. for Wii U,Bandai Namco Games,21st Nov 14,WiiU,5.07m,2.68m,1.15m,0.85m,0.39m
Dragon Ball Xenoverse,Dimps Corporation,24th Feb 15,All,,,,,
